	ARTICLE	ARTICLE DATE	NUM SENTENCES
23	PMC3296991	2/2012	3
58	PMC3705146	5/2013	3
177	PMC5952272	5/2018	3
10	PMC2873552	4/2010	3
42	PMC3472720	8/2012	3
158	PMC5340372	3/2017	3
44	PMC3488410	10/2012	3
60	PMC3717170	5/2013	2
166	PMC5521778	7/2017	2
96	PMC4488777	5/2015	2
141	PMC4990268	8/2016	2
98	PMC4499946	7/2015	2
140	PMC4989298	8/2016	2
138	PMC4979151	8/2016	2
102	PMC4586450	10/2015	2
107	PMC4624803	10/2015	2
137	PMC4976416	7/2016	2
165	PMC5513133	7/2017	2
16	PMC3034879	12/2010	2
15	PMC3004407	12/2010	2
112	PMC4673623	11/2015	2
172	PMC5758521	1/2018	2
9	PMC2872349	4/2010	2
117	PMC4765528	12/2015	2
120	PMC4800340	5/2016	2
130	PMC4903143	5/2016	2
125	PMC4877864	6/2015	2
91	PMC4417995	4/2015	2
27	PMC3347007	4/2012	2
30	PMC3356951	4/2012	2
149	PMC5085625	9/2016	2
66	PMC3809191	1/2013	2
56	PMC3695234	7/2013	2
68	PMC3827489	10/2013	2
55	PMC3691177	6/2013	2
154	PMC5155676	12/2016	2
156	PMC5310660	1/2017	2
157	PMC5318550	2/2017	2
46	PMC3509518	11/2012	2
45	PMC3501517	11/2012	2
75	PMC4071151	6/2014	2
80	PMC4251419	12/2014	2
163	PMC5418719	5/2017	2
88	PMC4377896	3/2015	2
87	PMC4377888	3/2015	2
86	PMC4377879	3/2015	2
63	PMC3739737	8/2013	2
38	PMC3458940	9/2012	2
144	PMC5014971	8/2016	1
131	PMC4908484	6/2016	1
152	PMC5133057	10/2016	1
170	PMC5664622	9/2017	1
175	PMC5841533	2/2018	1
174	PMC5838372	3/2018	1
127	PMC4891833	6/2016	1
142	PMC4992225	8/2016	1
132	PMC4918713	6/2015	1
136	PMC4973215	8/2016	1
167	PMC5537904	7/2017	1
168	PMC5546866	8/2017	1
173	PMC5784894	1/2018	1
151	PMC5129897	10/2016	1
150	PMC5095257	11/2016	1
133	PMC4930210	7/2016	1
155	PMC5223368	12/2016	1
90	PMC4405493	4/2015	1
124	PMC4859539	5/2016	1
123	PMC4848664	4/2016	1
49	PMC3586494	2/2013	1
48	PMC3552819	12/2012	1
43	PMC3476426	8/2012	1
40	PMC3470091	9/2012	1
37	PMC3437304	8/2012	1
36	PMC3427192	4/2012	1
34	PMC3417531	7/2012	1
33	PMC3411795	8/2012	1
31	PMC3385441	2/2012	1
29	PMC3355895	1/2011	1
28	PMC3347028	3/2012	1
25	PMC3319623	4/2012	1
22	PMC3278486	1/2012	1
20	PMC3276895	11/2011	1
19	PMC3272870	12/2011	1
17	PMC3039633	2/2011	1
14	PMC2999828	3/2009	1
12	PMC2963768	10/2010	1
8	PMC2841444	2/2010	1
7	PMC2722583	1/2009	1
6	PMC2685863	5/2009	1
5	PMC2582131	11/2008	1
3	PMC2405769	5/2008	1
50	PMC3599191	1/2013	1
54	PMC3685533	6/2013	1
62	PMC3734354	7/2013	1
99	PMC4514967	12/2014	1
121	PMC4811107	3/2016	1
119	PMC4785305	3/2016	1
118	PMC4770602	1/2016	1
111	PMC4661586	4/2015	1
110	PMC4645901	8/2014	1
109	PMC4632418	10/2015	1
108	PMC4627942	10/2015	1
106	PMC4605923	11/2015	1
101	PMC4516488	9/2009	1
100	PMC4516109	5/2015	1
97	PMC4499266	4/2015	1
64	PMC3760821	9/2013	1
95	PMC4466139	6/2015	1
94	PMC4452099	6/2015	1
92	PMC4427001	4/2015	1
1	PMC1281283	10/2005	1
84	PMC4340999	3/2015	1
82	PMC4302429	1/2015	1
81	PMC4277121	12/2015	1
79	PMC4231606	10/2013	1
73	PMC3991049	11/2013	1
72	PMC3973641	4/2014	1
179	PMC6011374	6/2018	1
