	ARTICLE	ARTICLE DATE	NUM SENTENCES
325	PMC3404653	3/2012	80
170	PMC3001618	1/2011	79
843	PMC4407308	4/2015	79
661	PMC4090150	7/2014	79
520	PMC3756974	8/2013	79
1121	PMC4919374	6/2016	79
712	PMC4193194	10/2014	79
909	PMC4516488	9/2009	79
1095	PMC4873529	3/2016	78
1001	PMC4701853	1/2016	78
235	PMC3202114	10/2011	78
108	PMC2756957	10/2009	78
319	PMC3387174	6/2012	77
473	PMC3675032	6/2013	77
751	PMC4264037	9/2014	77
114	PMC2780862	12/2009	76
499	PMC3710934	7/2013	76
1294	PMC5183755	12/2016	76
1235	PMC5059985	10/2016	76
1429	PMC5483961	7/2017	75
1182	PMC4995781	8/2016	75
802	PMC4354412	3/2015	75
1175	PMC4990268	8/2016	75
905	PMC4512131	8/2015	75
153	PMC2940790	8/2010	75
1487	PMC5626729	10/2017	74
1343	PMC5332602	3/2017	74
789	PMC4329404	10/2014	74
737	PMC4231349	10/2013	74
1167	PMC4979151	8/2016	73
1005	PMC4714725	1/2016	73
130	PMC2850511	4/2010	73
80	PMC2658734	4/2009	73
829	PMC4390789	1/2015	73
693	PMC4161944	9/2014	72
1024	PMC4733817	3/2016	72
1004	PMC4703068	8/2015	72
596	PMC3926113	1/2014	72
366	PMC3482177	10/2012	72
1120	PMC4918713	6/2015	72
95	PMC2707610	7/2009	72
698	PMC4169551	9/2014	71
822	PMC4383546	4/2015	71
1115	PMC4908484	6/2016	71
1420	PMC5457543	6/2017	71
689	PMC4155824	8/2014	71
137	PMC2880435	2/2010	71
528	PMC3773919	9/2013	70
430	PMC3600625	2/2013	70
1453	PMC5526786	8/2017	70
766	PMC4284764	12/2014	70
522	PMC3759332	9/2013	70
237	PMC3208550	11/2011	70
774	PMC4302093	1/2015	69
1534	PMC5727393	12/2017	69
742	PMC4246417	11/2014	69
1351	PMC5347102	3/2017	69
405	PMC3553086	1/2013	68
645	PMC4054662	7/2014	68
1359	PMC5367805	3/2017	68
1586	PMC6039335	7/2018	68
