	ARTICLE	ARTICLE DATE	NUM SENTENCES
921	PMC4494359	11/2013	190
530	PMC3751294	8/2013	190
234	PMC3180355	8/2011	189
219	PMC3127778	5/2011	188
173	PMC2999828	3/2009	187
1144	PMC4897523	10/2014	186
404	PMC3534233	11/2012	186
797	PMC4302607	1/2015	186
562	PMC3828574	11/2013	186
776	PMC4271720	12/2014	186
1118	PMC4864049	1/2016	182
697	PMC4143239	8/2014	182
1258	PMC5035072	9/2016	181
663	PMC4065350	12/2013	181
705	PMC4155824	8/2014	181
876	PMC4417529	4/2015	181
973	PMC4592566	10/2015	179
1168	PMC4934634	11/2015	179
519	PMC3734354	7/2013	178
1056	PMC4736099	1/2016	178
1089	PMC4807004	3/2016	177
448	PMC3613945	2/2013	176
565	PMC3829207	11/2013	175
1322	PMC5139892	12/2016	173
389	PMC3504314	11/2012	172
328	PMC3385441	2/2012	172
1535	PMC5634437	10/2017	172
1378	PMC5325830	2/2017	172
1562	PMC5688482	11/2017	172
652	PMC4045304	2/2014	169
595	PMC3895739	12/2013	167
640	PMC4018969	5/2014	167
647	PMC4031802	6/2014	167
936	PMC4518609	5/2015	166
1430	PMC5410409	4/2017	165
345	PMC3415261	7/2012	164
420	PMC3561108	9/2012	163
966	PMC4586451	10/2015	163
716	PMC4172064	9/2014	162
505	PMC3704911	7/2013	161
1111	PMC4856298	5/2016	160
1624	PMC5956785	5/2018	160
62	PMC2430236	6/2008	160
1165	PMC4933662	4/2016	160
1374	PMC5320754	2/2017	159
1445	PMC5434919	3/2017	159
709	PMC4161944	9/2014	158
567	PMC3849683	9/2013	158
262	PMC3250923	10/2011	158
1636	PMC6039335	7/2018	158
511	PMC3713405	7/2013	158
869	PMC4409764	4/2015	157
17	PMC1281295	10/2005	155
1455	PMC5444625	5/2017	155
1491	PMC5516245	10/2016	155
1074	PMC4774132	3/2016	155
860	PMC4404046	4/2015	155
330	PMC3387724	7/2012	154
536	PMC3766643	8/2013	154
767	PMC4258799	11/2014	154
1360	PMC5291430	2/2017	154
1033	PMC4703052	1/2016	153
1150	PMC4910734	6/2015	153
436	PMC3586494	2/2013	153
1599	PMC5800548	2/2018	153
1125	PMC4871475	5/2016	153
306	PMC3347028	3/2012	153
928	PMC4509429	7/2015	152
834	PMC4377870	3/2015	152
445	PMC3608974	2/2013	151
979	PMC4609156	10/2015	151
1513	PMC555773	9/2004	151
1039	PMC4721332	11/2014	151
116	PMC2779500	11/2009	150
506	PMC3705146	5/2013	150
637	PMC4015817	10/2013	150
1347	PMC5232347	1/2017	150
661	PMC4062859	3/2014	149
1597	PMC5793328	1/2018	149
1487	PMC5513133	7/2017	149
1583	PMC5732382	12/2017	148
201	PMC3099599	5/2011	148
741	PMC4210909	10/2014	148
1287	PMC5084734	5/2016	147
553	PMC3816674	12/2012	147
952	PMC4549107	8/2015	147
1390	PMC5345907	1/2017	147
1393	PMC5350457	2/2017	146
428	PMC3577503	1/2013	146
220	PMC3130670	6/2011	146
1477	PMC5485170	3/2017	146
1115	PMC4861006	5/2016	145
1284	PMC5084016	10/2016	145
182	PMC3029215	1/2011	144
839	PMC4379362	3/2015	143
1563	PMC5689158	11/2017	143
472	PMC3659910	1/2013	143
453	PMC3621213	1/2013	143
135	PMC2872320	3/2010	142
944	PMC4539485	8/2015	142
1404	PMC5371920	3/2017	142
1091	PMC4810511	3/2016	142
1013	PMC4680925	12/2015	142
8	PMC1168874	7/2005	141
362	PMC3462678	4/2012	141
246	PMC3219760	10/2011	141
438	PMC3599191	1/2013	140
1314	PMC5131456	11/2016	140
780	PMC4275595	9/2014	140
551	PMC3813450	10/2013	139
1482	PMC5496067	6/2017	139
1264	PMC5045149	9/2016	138
931	PMC4514967	12/2014	138
1517	PMC5578746	8/2017	137
1320	PMC5137972	6/2016	137
1526	PMC5606134	9/2017	137
1540	PMC5644053	10/2017	137
188	PMC3050773	2/2011	137
132	PMC2849017	9/2007	136
1313	PMC5129897	10/2016	136
86	PMC2671168	5/2009	136
1164	PMC4931906	5/2016	136
488	PMC3683620	5/2013	136
1169	PMC4934640	11/2015	136
1289	PMC5088205	11/2016	135
190	PMC3061267	2/2011	135
719	PMC4173670	9/2014	135
1468	PMC5472316	6/2017	135
47	PMC2151954	10/2007	135
128	PMC2831604	1/2010	135
914	PMC4477503	6/2015	135
465	PMC3650171	2/2013	134
1278	PMC5069446	10/2016	134
143	PMC2888390	6/2010	134
1625	PMC5958072	5/2018	134
1476	PMC5485039	3/2017	134
1149	PMC4910255	6/2016	134
941	PMC4534102	8/2015	134
1277	PMC5065689	10/2016	134
1227	PMC4999029	5/2016	134
218	PMC3124144	5/2011	133
982	PMC4618150	10/2015	133
670	PMC4078574	6/2014	133
561	PMC3827496	11/2013	133
478	PMC3669017	5/2013	133
585	PMC3873449	12/2013	133
1290	PMC5089547	11/2016	133
1209	PMC4988629	8/2016	132
1308	PMC5119728	11/2016	132
1626	PMC5965027	5/2018	132
1246	PMC5024513	9/2016	131
1117	PMC4861337	5/2016	131
409	PMC3543392	12/2012	131
1518	PMC5579643	8/2017	131
482	PMC3674738	5/2013	131
600	PMC3901983	1/2013	131
1436	PMC5420136	5/2017	131
728	PMC4192934	7/1989	131
495	PMC3693910	6/2013	131
102	PMC2722408	7/2009	130
1335	PMC5187359	12/2016	130
1594	PMC5784936	1/2018	130
926	PMC4504131	7/2015	130
241	PMC3202114	10/2011	130
912	PMC4476607	1/2015	130
1542	PMC5644840	4/2014	129
355	PMC3433387	5/2012	129
1545	PMC5651398	9/2017	129
360	PMC3448850	4/2012	128
798	PMC4303849	1/2015	128
564	PMC3828638	11/2013	128
1582	PMC5727393	12/2017	128
357	PMC3436647	4/2012	128
1564	PMC5690236	7/2015	127
532	PMC3758023	8/2013	127
1213	PMC4992225	8/2016	127
451	PMC3615950	3/2013	127
819	PMC4342189	2/2015	127
1282	PMC5073870	10/2016	127
1009	PMC4672086	12/2015	127
1607	PMC5826910	2/2018	127
971	PMC4591141	10/2015	126
50	PMC2265059	3/2008	126
52	PMC2290997	4/2008	126
1238	PMC5016860	9/2016	126
169	PMC2993657	11/2010	125
910	PMC4466850	4/2015	125
1176	PMC4944244	7/2016	125
927	PMC4507980	7/2015	125
1100	PMC4825102	2/2016	125
691	PMC4129499	8/2014	125
937	PMC4526903	6/2015	125
1508	PMC5543438	8/2017	125
1251	PMC5028238	10/2016	124
455	PMC3628788	4/2013	124
473	PMC3660281	5/2013	124
942	PMC4536216	8/2015	124
1376	PMC5325195	2/2017	124
1135	PMC4882712	5/2016	124
644	PMC4029598	12/2013	123
340	PMC3409554	7/2012	123
1241	PMC5017622	9/2016	123
790	PMC4292443	1/2015	123
901	PMC4459664	4/2015	123
1465	PMC5470056	4/2017	122
792	PMC4292819	1/2015	122
847	PMC4385595	3/2015	122
387	PMC3504157	11/2012	122
282	PMC3278486	1/2012	122
602	PMC3907150	1/2014	122
29	PMC1764147	12/2006	121
1154	PMC4919374	6/2016	121
1291	PMC5090877	11/2016	121
611	PMC3930526	2/2014	121
726	PMC4192458	9/2014	121
1137	PMC4891833	6/2016	121
1467	PMC5471716	1/2017	121
281	PMC3277098	12/2011	121
588	PMC3877972	12/2013	121
633	PMC3999948	4/2014	120
701	PMC4144280	9/2014	120
655	PMC4049132	6/2014	120
1042	PMC4728620	1/2016	120
1345	PMC5223368	12/2016	120
58	PMC2367680	5/2008	120
1516	PMC5576377	8/2017	120
913	PMC4476863	6/2015	119
1588	PMC5748804	12/2017	119
253	PMC3236407	11/2012	119
1637	PMC6043562	7/2018	119
735	PMC4202003	10/2014	119
1462	PMC5452160	4/2017	119
6	PMC1074510	3/2004	119
1414	PMC5384134	4/2017	119
148	PMC2904854	3/2010	119
771	PMC4264037	9/2014	118
649	PMC4036492	5/2014	118
351	PMC3426771	1/2012	118
903	PMC4463023	2/2015	118
636	PMC4014765	3/2014	118
1344	PMC5219667	1/2017	118
28	PMC1665416	11/2006	117
370	PMC3474767	10/2012	117
1078	PMC4784858	3/2016	117
761	PMC4246417	11/2014	117
820	PMC4346113	3/2015	117
566	PMC3829803	11/2013	117
620	PMC3966825	3/2014	117
632	PMC3996361	4/2014	117
1524	PMC5594587	9/2017	117
694	PMC4141279	8/2014	116
918	PMC4488777	5/2015	116
848	PMC4386645	3/2015	116
69	PMC2543024	9/2008	116
1304	PMC5116101	11/2016	115
1571	PMC5703566	11/2017	115
111	PMC2756957	10/2009	115
405	PMC3534321	12/2012	115
684	PMC4110237	7/2014	115
579	PMC3864158	12/2013	115
379	PMC3488410	10/2012	115
923	PMC4499946	7/2015	115
323	PMC3375006	4/2012	115
737	PMC4203464	10/2014	115
263	PMC3252281	12/2011	114
1609	PMC5828098	2/2018	114
1395	PMC5351212	3/2017	114
1333	PMC5168650	12/2016	114
89	PMC2672462	4/2009	114
1262	PMC5041052	8/2016	114
699	PMC4143824	7/2014	114
713	PMC4169453	9/2014	114
1294	PMC5093279	10/2016	113
1394	PMC5351166	3/2017	113
515	PMC3718681	7/2013	113
