OBO_ID	GENE LIST	TOTAL GENES
UBERON_0000956	['MMP8', 'MS4A3']	2
GO_0032755	['MMP8']	1
GO_0032760	['MMP8', 'OAS3']	2
GO_0150077	['MMP8']	1
GO_0010628	['MMP8', 'LCN2']	2
GO_0005765	['KIAA1324', 'HLA-DQB1']	2
UBERON_0001150	['KIAA1324', 'OLFM4']	2
CL_0000125	['KIAA1324', 'ITGB3']	2
UBERON_0001044	['KIAA1324', 'CRISP3', 'LCN2', 'RHD', 'JCHAIN']	5
GO_0009267	['KIAA1324']	1
PR_Q6UXG2	['KIAA1324']	1
GO_0000045	['KIAA1324']	1
GO_2000786	['KIAA1324']	1
GO_0005764	['KIAA1324']	1
GO_0005770	['KIAA1324']	1
UBERON_0000955	['KIAA1324', 'OLFM4', 'ITGB3', 'UTS2', 'RNF182', 'TUBB2A']	6
GO_0031902	['KIAA1324']	1
CL_0000082	['KIAA1324']	1
GO_0044090	['KIAA1324']	1
GO_0005802	['KIAA1324']	1
GO_0003723	['KIAA1324', 'C4BPA', 'IFIT1B']	3
UBERON_0000310	['KIAA1324', 'CRISP3']	2
UBERON_0002048	['KIAA1324']	1
GO_0005887	['KIAA1324', 'GYPA', 'ITGB3', 'RHD']	4
387837	['CLEC12B']	1
GO_2000272	['CLEC12B']	1
GO_0019903	['CLEC12B']	1
GO_0002769	['CLEC12B']	1
PR_000005560	['CLEC12B']	1
GO_0009897	['CLEC12B', 'ITGA2B', 'IGKC', 'CLEC4C']	4
UBERON_0000473	['CLEC12B']	1
GO_0032991	['CLEC12B', 'OLFM4', 'ITGB3']	3
PR_Q2HXU8	['CLEC12B']	1
GO_0045953	['CLEC12B']	1
GO_0030547	['CLEC12B']	1
CHEBI_49900	['GYPA', 'ITGB3']	2
CHEBI_16243	['GYPA', 'ITGB3', 'ITGA2B', 'ALOX15']	4
CHEBI_16704	['GYPA']	1
CHEBI_3584	['GYPA']	1
PR_000001460	['GYPA']	1
CHEBI_17562	['GYPA']	1
GO_0046718	['GYPA']	1
GO_0042802	['GYPA', 'ITGB3', 'LCN2', 'ITGA2B', 'ARG1']	5
CHEBI_30772	['GYPA']	1
CHEBI_17594	['GYPA']	1
CHEBI_68540	['GYPA']	1
CHEBI_9433	['GYPA', 'ITGB3']	2
CHEBI_2781	['GYPA', 'ITGB3', 'ITGA2B']	3
CHEBI_58470	['GYPA']	1
2993	['GYPA']	1
CL_0000765	['GYPA', 'CRISP3', 'ITGB3', 'ITGA2B', 'UTS2', 'MS4A3', 'RHD']	7
CHEBI_28939	['GYPA', 'ITGB3', 'ITGA2B']	3
CHEBI_37537	['GYPA', 'ITGB3', 'ITGA2B']	3
CHEBI_65329	['GYPA']	1
CHEBI_15996	['GYPA']	1
GO_0001618	['GYPA', 'ITGB3']	2
CHEBI_82625	['GYPA', 'ITGB3', 'ITGA2B']	3
CHEBI_63452	['GYPA', 'ITGB3']	2
GO_0016020	['GYPA', 'OAS3', 'ALOX15', 'HLA-DQB1']	4
CHEBI_30621	['GYPA', 'ITGB3']	2
GO_0005654	['GYPA', 'OAS3', 'OLFM4', 'ITGB3']	4
CL_0000788	['GYPA', 'JCHAIN']	2
CHEBI_90693	['GYPA', 'ITGB3', 'ITGA2B']	3
CHEBI_90695	['GYPA', 'ITGB3', 'ITGA2B']	3
CHEBI_16971	['GYPA']	1
CHEBI_27563	['GYPA']	1
CHEBI_45713	['GYPA']	1
CHEBI_27881	['GYPA']	1
CHEBI_18388	['GYPA']	1
CHEBI_77986	['GYPA', 'ITGB3', 'ITGA2B']	3
GO_0005829	['GYPA', 'OAS3', 'OLFM4', 'LCN2', 'ALOX15', 'KRT73', 'ARG1', 'MYL9', 'IFIT1B']	9
CHEBI_16778	['GYPA']	1
